sym,open,close,change,percent,snr,flow
TKR,84.69,84.53,-0.16,-0.002,-0.1,738335732
DCI,74.5,72.73,-1.77,-0.024,-0.11,733653414
UPWK,12.15,9.64,-2.51,-0.207,-0.22,732121981
RDNT,59.99,66.29,6.3,0.105,0.13,727925220
IDA,99.97,101.91,1.94,0.019,0.16,727560826
ATGE,78.55,75.71,-2.84,-0.036,-0.08,726595666
SGRY,30.26,31.95,1.69,0.056,0.05,725164399
STAG,41.08,40.58,-0.5,-0.012,-0.07,721591583
VCYT,24.18,31.55,7.37,0.305,0.2,720705075
WTS,207.26,196.7,-10.56,-0.051,-0.15,719358266
AMED,98.05,98.01,-0.04,-0,-0.06,718706454
KRC,37.64,36.27,-1.37,-0.036,-0.04,716743795
ALTM,3.17,2.71,-0.46,-0.145,-0.2,716585263
HROW,25.81,40.46,14.65,0.568,0.22,715712052
SSD,190.44,183.06,-7.38,-0.039,-0.14,715056458
ACAD,19.08,16.58,-2.5,-0.131,-0.15,714403469
WK,73.36,78.17,4.81,0.066,0.17,713217530
EYE,14.32,10.56,-3.76,-0.263,-0.32,712543085
CABO,410.83,352.72,-58.11,-0.141,-0.32,712079077
LIVN,49.86,50.39,0.53,0.011,-0.01,709869803
MRCY,35.42,37.9,2.48,0.07,0.07,707658514
SYNA,86.41,81.42,-4.99,-0.058,-0.1,706164495
DIOD,77.34,69.69,-7.65,-0.099,-0.14,705908938
LBRT,24.02,20.59,-3.43,-0.143,-0.29,705088407
ADNT,25.69,22.62,-3.07,-0.12,-0.25,704288903
LSXMK,22.55,23.83,1.28,0.057,0.12,703778127
SONO,13.48,12.23,-1.25,-0.093,-0.14,703455094
AVT,53.76,55.18,1.42,0.026,0.07,701186008
VRRM,30.09,27.61,-2.48,-0.082,-0.32,701016523
FOLD,10.34,11.61,1.27,0.123,0.19,700016480
EXLS,34.2,36.54,2.34,0.068,0.09,699518349
FCFS,111.22,120.09,8.87,0.08,0.25,699169970
COLM,81.7,80.73,-0.97,-0.012,-0.06,698825170
AWI,131.49,126.76,-4.73,-0.036,-0.16,698010210
INSW,55.97,51.83,-4.14,-0.074,-0.18,695778658
VECO,40.68,35.49,-5.19,-0.128,-0.19,691677561
KOS,5.51,4.87,-0.64,-0.116,-0.2,691385516
ORI,34.84,35.87,1.03,0.03,0.19,690640836
FSS,99.46,94.49,-4.97,-0.05,-0.16,689874317
GFF,72.19,66.19,-6,-0.083,-0.11,688176045
SANM,75.28,69.38,-5.9,-0.078,-0.13,687465537
IRT,18.6,20.78,2.18,0.117,0.43,686927004
MYRG,125.8,100.8,-25,-0.199,-0.28,686826199
SITC,61.92,60.35,-1.57,-0.025,-0.18,685942825
AFG,131.56,133.62,2.06,0.016,0.08,681463778
SIGI,90.56,90.98,0.42,0.005,0.02,680315074
ONB,20,19.85,-0.15,-0.007,-0.02,679457067
APLE,14.84,14.44,-0.4,-0.027,-0.16,678568782
TRUP,37.31,45.73,8.42,0.226,0.34,675037087
R,140.05,145.24,5.19,0.037,0.06,674377175
SLAB,118.23,118.37,0.14,0.001,-0.01,673736251
RNST,34.29,35,0.71,0.021,0.01,673458785
COOP,90.21,93.81,3.6,0.04,0.08,671931601
LANC,192.37,170.76,-21.61,-0.112,-0.21,671429787
NSA,42.87,46.74,3.87,0.09,0.35,671122740
AMG,185.7,173.83,-11.87,-0.064,-0.16,670272471
HRI,155.87,146.37,-9.5,-0.061,-0.11,669384429
BDC,93.18,107.28,14.1,0.151,0.35,658419532
LAZ,49,50.11,1.11,0.023,0.03,658307511
CCOI,70.11,69.98,-0.13,-0.002,-0.01,657097178
JACK,59.68,49.36,-10.32,-0.173,-0.32,653743540
SIGA,10,9.03,-0.97,-0.097,-0.05,652244170
CC,24.27,19.44,-4.83,-0.199,-0.25,651130027
BLBD,53,51.18,-1.82,-0.034,-0.03,649838887
PRI,252.99,263.23,10.24,0.04,0.14,647543394
INFN,5.96,6.29,0.33,0.055,0.17,646121571
VIRT,27.47,30.71,3.24,0.118,0.38,645206657
GEO,14.45,13.87,-0.58,-0.04,-0.09,642035222
BLMN,20.83,17.5,-3.33,-0.16,-0.28,641519051
EEFT,102.13,107.91,5.78,0.057,0.13,639350575
FSLY,8.11,6.02,-2.09,-0.258,-0.29,631859873
PAG,172.11,170.1,-2.01,-0.012,-0.06,631382705
GPOR,147.59,145.06,-2.53,-0.017,-0.07,628116305
DK,24.19,20.42,-3.77,-0.156,-0.29,627325732
FNB,15.32,14.98,-0.34,-0.022,-0.08,625509004
ITGR,118.85,130.07,11.22,0.094,0.26,623845685
SMPL,33.87,31.59,-2.28,-0.067,-0.3,620483626
RDN,37.16,36.15,-1.01,-0.027,-0.1,620316568
IAC,52.81,52.78,-0.03,-0.001,-0.01,620040320
SLNO,48.48,48.95,0.47,0.01,-0.02,618929669
SPSC,215.38,199.74,-15.64,-0.073,-0.16,617194223
SAM,281.41,271.72,-9.69,-0.034,-0.13,616228399
TDC,32.36,28.24,-4.12,-0.127,-0.16,615459960
SLGN,52.07,52.27,0.2,0.004,0.08,614931351
GMS,95.59,86.79,-8.8,-0.092,-0.19,614588898
SHO,10.39,10.43,0.04,0.004,-0.01,613631357
AROC,20.22,20.23,0.01,0,-0.04,612073836
TBBK,51.76,52.4,0.64,0.012,0,610884383
CNMD,63.4,73.22,9.82,0.155,0.13,610271713
FCN,218.33,228.31,9.98,0.046,0.19,610118808
RPD,37.62,37.81,0.19,0.005,-0.06,608790255
HELE,59.33,53.38,-5.95,-0.1,-0.24,608183840
UFPI,131.74,121.67,-10.07,-0.076,-0.2,606640288
CRNX,53.26,53.06,-0.2,-0.004,-0.01,606601585
ASB,22.92,22.88,-0.04,-0.002,-0.03,604303720
ENS,109.68,101.33,-8.35,-0.076,-0.2,604174717
ACA,92.98,91.49,-1.49,-0.016,-0.03,602760867
BMI,206.78,206.94,0.16,0.001,0.01,595264265
MWA,20.66,21.47,0.81,0.039,0.07,593830243
CR,160.29,158.38,-1.91,-0.012,-0.02,591653771
BHVN,39,39.4,0.4,0.01,-0.01,590793603
PLAY,37.85,31.34,-6.51,-0.172,-0.38,589994065
SEIC,67.84,67.63,-0.21,-0.003,-0.02,589657021
CVI,28.6,25.42,-3.18,-0.111,-0.25,589072911
TGNA,15.97,13.88,-2.09,-0.131,-0.35,587849901
NTLA,26.63,22.44,-4.19,-0.157,-0.26,587338985
CALM,72.12,72.04,-0.08,-0.001,0.02,585254072
MORN,317.65,313.77,-3.88,-0.012,-0.11,581568361
NFG,57.76,59.76,2,0.035,0.08,580168260
BYND,6.25,6.08,-0.17,-0.027,-0.01,579026915
DVAX,11.14,11.22,0.08,0.007,-0.01,577640966
LCII,116.63,117.84,1.21,0.01,0.01,577400047
EPR,45.43,47.47,2.04,0.045,0.16,576749771
BXMT,17.86,18.46,0.6,0.034,0.11,575546296
DXC,20.31,20.67,0.36,0.018,0.02,575303025
SWX,74.45,72.72,-1.73,-0.023,-0.1,575139017
CACC,525,466.53,-58.47,-0.111,-0.3,574339657
CUZ,27.78,28.51,0.73,0.026,0.1,573243970
CBZ,70.18,73.6,3.42,0.049,0.02,573226938
ANIP,65.86,63.75,-2.11,-0.032,-0.04,572782049
YELP,36.73,34.93,-1.8,-0.049,-0.13,572128612
CUBI,63.94,51.82,-12.12,-0.19,-0.26,568893839
FLO,22.56,23.24,0.68,0.03,0.13,568470410
VMI,299.15,285.76,-13.39,-0.045,-0.24,567193028
PRIM,56.44,56.44,0,0,0,566514848
WGO,62.47,59.66,-2.81,-0.045,-0.11,565210622
CWST,103.11,107.86,4.75,0.046,0.18,564186539
DEI,16.19,16,-0.19,-0.012,-0.01,563842785
RRR,57.28,58.28,1,0.017,0.01,562346754
SAIC,124.34,130.59,6.25,0.05,0.25,561783004
SLM,22.7,22.06,-0.64,-0.028,-0.09,561182022
PRFT,75.45,75.17,-0.28,-0.004,-0.18,559248715
GRBK,78.05,78.78,0.73,0.009,0.12,559225588
TALO,11.85,11.47,-0.38,-0.032,-0.06,558675104
CNO,34.93,34.92,-0.01,-0,0.01,558161439
VSH,24.25,20.15,-4.1,-0.169,-0.4,557247374
SEM,39.69,36.07,-3.62,-0.091,-0.14,556998069
PEB,13.61,13.3,-0.31,-0.023,-0.08,556978045
ADT,7.75,7.29,-0.46,-0.059,-0.13,556810978
NOVT,180.61,183.28,2.67,0.015,0.01,555131486
HASI,33.26,32.38,-0.88,-0.026,-0.04,554631225
CORT,38.5,35.3,-3.2,-0.083,-0.18,553499513
KLIC,46.79,43.81,-2.98,-0.064,-0.12,551872778
LBTYA,19.46,19.35,-0.11,-0.006,-0.07,551285838
OMCL,32.13,44.48,12.35,0.384,0.38,550881761
PTGX,37.42,42.89,5.47,0.146,0.28,550852366
HWC,54.71,53.73,-0.98,-0.018,-0.06,549407083
ACMR,17.95,18.04,0.09,0.005,0,548146818
CBRL,46.07,39.58,-6.49,-0.141,-0.29,546557030
IESC,155.11,186.53,31.42,0.203,0.27,545518582
FWRD,25.32,31.77,6.45,0.255,0.19,545237975
OGS,69.89,68.94,-0.95,-0.014,-0.13,544205319
RAMP,30.19,25.92,-4.27,-0.141,-0.17,544031439
TNET,104.67,102.83,-1.84,-0.018,-0.07,542091395
GTHX,4.29,7.11,2.82,0.657,0.21,541494610
AGO,82.65,80.08,-2.57,-0.031,-0.1,540725027
GBCI,44.8,47.3,2.5,0.056,0.09,540527758
NEOG,17.08,17.25,0.17,0.01,0.01,540037067
CSWI,322,337.63,15.63,0.049,0.14,539714186
CVCO,416.58,413.32,-3.26,-0.008,-0.02,537573615
ARWR,28.46,23.83,-4.63,-0.163,-0.29,535499425
APPS,2.38,3.22,0.84,0.353,0.14,534501391
LEVI,18.23,19.27,1.04,0.057,0.1,532356673
OXM,105.07,86.98,-18.09,-0.172,-0.47,529922955
CCS,105,100.07,-4.93,-0.047,-0.09,529876049
ARCB,127.35,106.3,-21.05,-0.165,-0.24,527409290
VC,114.77,101.23,-13.54,-0.118,-0.3,526603813
FOXF,53.62,40.48,-13.14,-0.245,-0.29,526169827
ESNT,62.97,64.29,1.32,0.021,0.06,525215030
ALRM,70.39,59.54,-10.85,-0.154,-0.38,523324018
SR,66.58,65.97,-0.61,-0.009,-0.06,522974094
ASGN,94.19,96.16,1.97,0.021,0.03,522632207
BKH,58.29,59.12,0.83,0.014,-0.03,521556795
SHOO,44.65,45.1,0.45,0.01,-0.03,520920780
NSSC,56.08,46.38,-9.7,-0.173,-0.24,520860992
ORA,77.21,74.53,-2.68,-0.035,-0.15,517932275
VSTO,40.55,40.04,-0.51,-0.013,-0.1,514162788
AIRI,3.65,5.46,1.81,0.496,0.12,514014339
NX,33.3,27.63,-5.67,-0.17,-0.4,510874406
WERN,39.19,36.96,-2.23,-0.057,-0.22,509413890
LBTYK,19.94,19.67,-0.27,-0.014,-0.13,506008266
MDU,26.9,25.69,-1.21,-0.045,-0.18,504921247
APPN,35.75,32.44,-3.31,-0.093,-0.14,504207270
HOMB,28.18,27.84,-0.34,-0.012,-0.08,503894256
GOLF,72.77,66.99,-5.78,-0.079,-0.2,503477784
ENR,30.75,32.4,1.65,0.054,0.12,503354855
TELL,0.92,0.93,0.01,0.013,0.02,503230480
SSTK,44.45,35.88,-8.57,-0.193,-0.33,502341670
IRDM,28.6,25.8,-2.8,-0.098,-0.36,501122252
LPG,41.5,38.99,-2.51,-0.06,-0.09,500466790
AEIS,114.49,106.09,-8.4,-0.073,-0.14,497269624
ATEC,7.9,6.9,-1,-0.127,-0.21,497109374
OSIS,148.14,149.87,1.73,0.012,0.01,496361766
CARG,25.02,28.98,3.96,0.158,0.17,495287908
PARR,26.58,22.44,-4.14,-0.156,-0.32,494583930
KMPR,64.56,62.51,-2.05,-0.032,-0.13,494198540
THG,137.77,146.99,9.22,0.067,0.23,493552919
UA,6.75,7.46,0.71,0.105,0.11,492995623
EXTR,14.34,15.75,1.41,0.098,0.19,492741121
SATS,20.19,18.54,-1.65,-0.082,-0.07,491649558
NBR,101.58,75.37,-26.21,-0.258,-0.34,491279455
PCRX,20.85,15.56,-5.29,-0.254,-0.14,491027435
CPRX,17.27,20.25,2.98,0.173,0.23,490517161
PDCO,25.59,22.49,-3.1,-0.121,-0.18,488655666
TCBI,66.33,67.22,0.89,0.013,0,488529332
SKYW,79.95,77.54,-2.41,-0.03,-0.06,487518662
OUT,16.27,17.05,0.78,0.048,0.07,486203198
ARDX,5.6,6.18,0.58,0.104,0.18,484937390
CLDX,38.21,41.33,3.12,0.082,0.11,474573842
CWEN,27,28.96,1.96,0.073,0.24,473130583
SNDR,28.36,27.11,-1.25,-0.044,-0.01,472432638
SKT,29.11,30.44,1.33,0.046,0.13,472108848
BKU,38.46,38.43,-0.03,-0.001,-0.03,470786718
PINC,20.91,20.37,-0.54,-0.026,-0.13,469165167
PRMW,22.08,22.1,0.02,0.001,0.02,465141421
TDS,21.35,23.62,2.27,0.106,0.16,464161453
ARR,20.21,20.45,0.24,0.012,0.01,463661417
BANC,13.94,14.22,0.28,0.02,0.03,463574561
LZB,44.13,40.57,-3.56,-0.081,-0.24,462456538
HIW,31.28,32.22,0.94,0.03,0.1,462443854
GSHD,89.73,84.34,-5.39,-0.06,-0.22,462076470
ALE,64.5,63.55,-0.95,-0.015,-0.25,456679457
TGLS,53.54,61.97,8.43,0.157,0.21,453758962
MAN,76.69,73.92,-2.77,-0.036,-0.15,453423870
NJR,46.94,46.31,-0.63,-0.013,-0.06,453085166
LOPE,156.33,145.01,-11.32,-0.072,-0.32,452812656
CWH,23.66,21.94,-1.72,-0.073,-0.08,452713768
PNM,41.86,40.73,-1.13,-0.027,-0.11,452390493
EQC,20.34,20.27,-0.07,-0.003,-0.07,451500431
AXNX,68.59,69.17,0.58,0.008,0.38,451295615
RYN,30.51,30.81,0.3,0.01,0.03,450742562
IIPR,123,124.28,1.28,0.01,0.01,448237012
KTOS,22.54,22.94,0.4,0.018,0.01,448216469
DNLI,23.8,24.44,0.64,0.027,-0,447198454
HUBG,47.14,47.13,-0.01,-0,0,445777653
PJT,132.67,123.5,-9.17,-0.069,-0.19,445271079
TRN,35,33.01,-1.99,-0.057,-0.01,444639602
KMT,26.14,25.87,-0.27,-0.01,-0.05,441858006
IART,24.73,20.34,-4.39,-0.178,-0.43,441726845
SGH,22.39,20.72,-1.67,-0.075,-0.18,441054255
MAC,16.22,15.97,-0.25,-0.015,-0.04,438782041
FULT,19.36,19.35,-0.01,-0.001,-0.02,434921003
JBT,98.51,89.84,-8.67,-0.088,-0.24,434465819
LEG,13.21,12.64,-0.57,-0.043,-0.13,432170682
AAOI,9.61,11.35,1.74,0.181,0.15,428279511
FBP,21.27,21.38,0.11,0.005,-0.03,424720075
KAI,348.72,321.13,-27.59,-0.079,-0.18,424592093
GES,23.99,20.72,-3.27,-0.136,-0.34,423408579
THS,40.28,41.09,0.81,0.02,0.06,422311252
NHI,75.29,81.43,6.14,0.082,0.3,420877114
NMIH,39.34,41.07,1.73,0.044,0.07,420003908
LQDA,12.01,9.51,-2.5,-0.208,-0.11,418877779
OI,13.11,12.69,-0.42,-0.032,0,417975823
AGIO,44.88,45.91,1.03,0.023,-0.06,415776171
IOSP,131.24,115.26,-15.98,-0.122,-0.26,414663138
XRX,10.74,11.33,0.59,0.055,0.07,413429227
PATK,131.26,129.22,-2.04,-0.016,-0,410424165
MYGN,27.92,28.33,0.41,0.015,0.03,409774908
WD,106.83,107.06,0.23,0.002,-0.01,409524667
PCH,44.29,43.46,-0.83,-0.019,-0.08,408227548
MSA,187.67,182.63,-5.04,-0.027,-0.16,406686589
BOH,68.45,66.37,-2.08,-0.03,-0.1,406032502
REZI,22.67,20.16,-2.51,-0.111,-0.22,405557492
PRO,24.26,20.13,-4.13,-0.17,-0.35,404727964
ODP,42.44,30.85,-11.59,-0.273,-0.18,404455333
LSXMA,22.68,23.81,1.13,0.05,0.11,404256903
FCPT,27.71,28.35,0.64,0.023,0.25,404234802
BCRX,7.28,8.69,1.41,0.194,0.31,403456009
BHF,50.02,45.9,-4.12,-0.082,-0.18,403153937
EXPO,105.97,108.27,2.3,0.022,0.04,399433686
KFY,73.39,73.05,-0.34,-0.005,-0.05,399330046
AVA,39.33,38.64,-0.69,-0.018,-0.1,397874972
LXP,10.39,10.36,-0.03,-0.003,-0,397251648
PBH,70.65,74.64,3.99,0.056,0.18,397082837
UBSI,38.9,38.87,-0.03,-0.001,-0.03,396307547
EVRI,12.88,13.05,0.17,0.013,0.26,396295025
GNW,6.83,6.98,0.15,0.022,0.06,395641591
CALX,41.08,37.24,-3.84,-0.093,-0.24,395277154
RUSHA,54.46,52.7,-1.76,-0.032,0.05,394437439
WDFC,261.67,262.84,1.17,0.004,-0.04,394040341
AGYS,112.58,113.1,0.52,0.005,0.01,393981322
CAL,38.65,42.13,3.48,0.09,0.14,393658037
WTM,1758.77,1844.24,85.47,0.049,0.11,392269064
PAR,50.41,53.99,3.58,0.071,0.1,391316368
FFIN,38.09,36.57,-1.52,-0.04,-0.14,389072352
OII,29.91,26.99,-2.92,-0.098,-0.17,389020688
GATX,140.08,141.1,1.02,0.007,0.01,388352044
EPC,39.25,40.22,0.97,0.025,0.1,387745443
LGIH,115.25,107.88,-7.37,-0.064,-0.15,387458879
OTTR,96.99,84.55,-12.44,-0.128,-0.36,385750361
APAM,44.23,41.59,-2.64,-0.06,-0.14,384314528
SBH,11.45,13.05,1.6,0.14,0.13,383228771
ARVN,27.46,26.16,-1.3,-0.047,-0.08,382870552
ADUS,121.78,133.01,11.23,0.092,0.25,378293697
VRNT,36.09,31.55,-4.54,-0.126,-0.29,377767943
RYTM,48.08,47.29,-0.79,-0.016,-0.05,375535797
COMM,2.61,3.86,1.25,0.479,0.25,374108285
AMPH,43.5,48.74,5.24,0.12,0.19,374091894
NSP,100.37,93.99,-6.38,-0.064,-0.29,373863074
UE,20.41,21.15,0.74,0.036,0.08,371887247
CHUY,37.1,37.2,0.1,0.003,0.14,371756735
ABCB,60.92,61.63,0.71,0.012,0.01,371585131
CENX,14.98,14.36,-0.62,-0.041,-0.05,370125956
HLF,11.91,8.16,-3.75,-0.315,-0.46,369884197
HOV,211.25,216.23,4.98,0.024,0.03,369572262
AKR,21.77,22.51,0.74,0.034,0.13,369171552
SNDX,22.83,20.55,-2.28,-0.1,-0.23,368297498
EVER,27,24.7,-2.3,-0.085,-0.07,368082219
ALGT,56.07,42.08,-13.99,-0.25,-0.27,367415964
FUL,86.2,85.66,-0.54,-0.006,-0.04,367264380
BLKB,79.73,83.6,3.87,0.049,0.19,365150669
BCPC,177.93,177.03,-0.9,-0.005,-0.04,364483157
PBI,6.63,7.07,0.44,0.066,0.06,364400256
PFS,18.58,19.07,0.49,0.026,0.03,363925026
IPAR,141.28,128.84,-12.44,-0.088,-0.22,363804271
ABM,55.32,57.15,1.83,0.033,0.1,361263424
PTCT,33.87,35.32,1.45,0.043,0.09,360045384
REVG,29.18,31.84,2.66,0.091,0.13,360044726
PD,20.9,19.78,-1.12,-0.054,-0.15,359974097
SRDX,41.31,39.63,-1.68,-0.041,-0.29,359707450
MNKD,5.76,6.26,0.5,0.087,0.13,358989615
AGR,35.72,35.69,-0.03,-0.001,0.01,358812416
DIN,35.85,31.62,-4.23,-0.118,-0.22,358274528
ENVA,86.45,85.73,-0.72,-0.008,-0.02,355906351
IPGP,79.92,68.37,-11.55,-0.145,-0.31,355545843
AWR,83.32,81.42,-1.9,-0.023,-0.09,354538892
UCTT,42.52,37.7,-4.82,-0.113,-0.2,354266885
CWT,54.06,55.33,1.27,0.023,0.13,352971494
AMSC,24.2,20.22,-3.98,-0.164,-0.17,352562154
VCTR,52.35,54.57,2.22,0.042,0.05,351958957
JJSF,168.03,170.19,2.16,0.013,0.02,350080178
DRH,8.26,8.79,0.53,0.064,0.18,349891593
DX,12.21,12.6,0.39,0.032,0.15,349808600
NMRK,13,13.83,0.83,0.064,0.1,348854848
HWKN,113.69,126.67,12.98,0.114,0.29,348680902
AMWD,101.88,89.61,-12.27,-0.12,-0.19,348643890
UFPT,325.85,341.23,15.38,0.047,0.12,346308141
NWS,28.93,29.43,0.5,0.017,0.08,345885480
BKE,43.17,41.9,-1.27,-0.029,-0.06,343803744
SFBS,79.24,81.06,1.82,0.023,0.01,343355874
CRBP,59.61,61.18,1.57,0.026,-0.01,342962047
VCEL,48.53,51.65,3.12,0.064,0.03,340930073
ALT,6.37,6.7,0.33,0.052,0.04,339993335
MCY,60.27,66.23,5.96,0.099,0.35,339909787
HI,44.23,32.96,-11.27,-0.255,-0.58,339298013
PRGS,58.11,58.15,0.04,0.001,-0.05,337343444
SUPN,29.78,35.16,5.38,0.181,0.22,337298313
GRPN,13.42,13.87,0.45,0.034,-0.01,336986358
RLI,151.47,154.1,2.63,0.017,0.13,335637981
ATRC,21.34,26.21,4.87,0.228,0.39,330386389
LC,12.44,12.15,-0.29,-0.023,-0.03,329898182
GPRE,17.76,14.17,-3.59,-0.202,-0.31,329469760
RC,9.3,8.29,-1.01,-0.109,-0.39,328896713
RCKT,24.06,18.85,-5.21,-0.217,-0.34,326918285
WWW,14.69,13.71,-0.98,-0.067,-0.15,322672819
TGI,16.38,13.93,-2.45,-0.15,-0.23,321266490
PLXS,127.8,128.11,0.31,0.002,0,318612387
WINA,398.5,360.6,-37.9,-0.095,-0.23,318320841
NWE,53.95,54.39,0.44,0.008,-0.01,318240450
KWR,183.13,169.27,-13.86,-0.076,-0.21,317847507
COLL,38.69,38.46,-0.23,-0.006,-0.02,316357646
BKD,7.74,7.11,-0.63,-0.081,-0.19,314467414
DORM,100.96,113.42,12.46,0.123,0.34,314148983
ROIC,15.14,15.29,0.15,0.01,0.08,313753685
TTMI,19.85,19.45,-0.4,-0.02,-0.07,313566401
TNXP,0.52,0.23,-0.29,-0.56,-0.32,313219431
MXL,13.95,15.18,1.23,0.088,0.06,310744394
PLUS,92.2,95.96,3.76,0.041,0.07,308224532
OMI,16.36,15.54,-0.82,-0.05,-0.06,307781173
AZZ,79.77,83.17,3.4,0.043,0.05,305111031
RLJ,9.49,9.5,0.01,0.001,-0.01,302469240
TROX,16.02,13.93,-2.09,-0.13,-0.17,301453750
ALG,185,185.4,0.4,0.002,-0.1,300575534
AIR,64.56,65.78,1.22,0.019,0.03,298795246
FIBK,31.4,31.05,-0.35,-0.011,-0.06,298658501
CVBF,19.08,18.42,-0.66,-0.035,-0.09,297030737
ICFI,146.28,165.76,19.48,0.133,0.34,296618208
IBOC,67.44,63.18,-4.26,-0.063,-0.16,294921220
AEHR,18.71,15.21,-3.5,-0.187,-0.21,293616359
CBU,61.57,61.16,-0.41,-0.007,-0.04,291793591
KAR,17.88,17.33,-0.55,-0.031,-0.11,290635338
ORC,8.07,8.2,0.13,0.016,0.04,289040923
DEA,13.73,13.12,-0.61,-0.044,-0.29,288855019
FELE,105.66,103.86,-1.8,-0.017,-0.09,288545284
BZH,33.67,31.28,-2.39,-0.071,-0.1,287306342
BOKF,102.8,104.95,2.15,0.021,0.04,286791372
CNS,86.11,89.36,3.25,0.038,0.12,284951885
ZUO,9.01,8.79,-0.22,-0.024,-0.08,284754689
VSEC,86.78,93.03,6.25,0.072,0.06,284598558
HLX,11.71,11.22,-0.49,-0.042,-0.08,283664839
NPO,170.11,160.83,-9.28,-0.055,-0.12,282864853
STRA,104.61,96.5,-8.11,-0.078,-0.22,282719673
HLIT,14.7,14.45,-0.25,-0.017,-0.01,282244153
VIAV,8.04,8.61,0.57,0.071,0.11,281863274
ANAB,35.08,38.09,3.01,0.086,0.09,280277628
WAFD,35.57,36.67,1.1,0.031,0.05,279974017
AOSL,41.06,41.81,0.75,0.018,0.02,279731686
FCEL,0.52,0.4,-0.12,-0.222,-0.22,279166292
MGPI,82.79,89.59,6.8,0.082,0.3,278370181
HPP,6.08,5.15,-0.93,-0.153,-0.18,275460619
LGND,108.42,105.8,-2.62,-0.024,-0.08,275000880
JBGS,16.53,17.4,0.87,0.053,0.14,274131704
HAIN,7.71,8,0.29,0.038,0.03,273937604
IMMR,12.81,9.4,-3.41,-0.266,-0.36,273899704
CNA,49.63,51.92,2.29,0.046,0.26,273441860
PPBI,27.06,25.7,-1.36,-0.05,-0.1,273133531
ROCK,74.44,69.67,-4.77,-0.064,-0.14,271631540
PSMT,90.86,89.58,-1.28,-0.014,-0.06,270908905
AIN,93.38,94.16,0.78,0.008,-0,270503720
UCBI,30.94,30.1,-0.84,-0.027,-0.07,269731049
AMRX,7.33,8.66,1.33,0.181,0.24,268885285
CXW,13.94,13.78,-0.16,-0.011,-0.04,268880210
PACB,2.06,1.37,-0.69,-0.335,-0.32,263952083
TTNP,5.84,6.13,0.29,0.05,0.01,263708287
AMRK,38.2,38.97,0.77,0.02,-0.03,262485795
XHR,13.97,14.24,0.27,0.019,0.04,261924696
WSFS,56.42,54.74,-1.68,-0.03,-0.09,261867665
MTX,78.19,77.1,-1.09,-0.014,-0.06,260959789
BRC,71.61,74.04,2.43,0.034,0.14,260917008
SGMO,0.79,0.85,0.06,0.073,0.05,258680212
CLW,55.61,33.27,-22.34,-0.402,-0.46,258674441
CHEF,41.75,42.83,1.08,0.026,0.07,257863518
EFC,12.71,13.15,0.44,0.035,0.09,257727470
HCI,94.49,95.83,1.34,0.014,0.02,257525959
SAH,59.97,62.34,2.37,0.04,0.11,256712004
SJW,60.79,58.99,-1.8,-0.03,-0.15,256414474
HEES,52.23,48.15,-4.08,-0.078,-0.15,256277247
EVTC,36.47,34.25,-2.22,-0.061,-0.04,255362135
CATY,44.27,43.99,-0.28,-0.006,-0.03,255143511
LAUR,17.53,15.42,-2.11,-0.12,-0.02,254917449
NEU,564.02,573.77,9.75,0.017,0.04,254471874
FBMS,33.36,34.26,0.9,0.027,0.04,253908269
HURN,109.34,110.44,1.1,0.01,0.04,253532364
KURA,20.31,21.06,0.75,0.037,-0.01,252230503
UNIT,3.58,4.36,0.78,0.218,0.18,252029603
IRWD,6.9,5.06,-1.84,-0.267,-0.21,251261406
ESRT,10.77,10.79,0.02,0.002,-0.02,249710122
SCL,85.3,77.63,-7.67,-0.09,-0.19,249605722
BJRI,31.71,30.63,-1.08,-0.034,-0.07,249541853
INDB,63.72,63.31,-0.41,-0.006,-0.04,249315227
GBX,50.96,48.45,-2.51,-0.049,-0.11,248956750
GNL,8.74,8.62,-0.12,-0.014,-0.06,248339862
COHU,29.8,26.91,-2.89,-0.097,-0.24,247942099
NGVT,39.55,39.53,-0.02,-0.001,-0.18,247754221
ITI,4.92,7.05,2.13,0.433,0.15,247305738
ARLO,15.17,11.74,-3.43,-0.226,-0.31,245731036
TREE,52.94,57.93,4.99,0.094,0.09,244122697
DNOW,15.18,13.02,-2.16,-0.142,-0.33,243928427
ESE,122.48,119.91,-2.57,-0.021,-0.09,243505530
MNRO,30.95,27.09,-3.86,-0.125,-0.26,243016057
TNC,107.32,97.67,-9.65,-0.09,-0.22,242755131
EXPI,14.48,11.76,-2.72,-0.188,-0.27,242344188
ROG,121.83,107.26,-14.57,-0.12,-0.3,242340673
IVR,9.1,8.77,-0.33,-0.036,-0.14,241459040
FHB,25.03,24.33,-0.7,-0.028,-0.1,240122017
LTC,35.84,36.73,0.89,0.025,0.2,239997837
USPH,97.66,85.6,-12.06,-0.123,-0.29,239742108
HNI,54.87,53.85,-1.02,-0.019,-0.08,239469280
PLAB,25.25,25.86,0.61,0.024,0.02,236179009
DAN,12.86,11.29,-1.57,-0.122,-0.22,235679663
LB,33.55,37.04,3.49,0.104,0.17,235025280
LMAT,86.53,90.29,3.76,0.043,0.07,231646745
RCUS,16.3,17.12,0.82,0.05,0.06,229210656
SCSC,52.22,50.94,-1.28,-0.025,-0.03,227435526
HTLF,54.96,55.76,0.8,0.015,0.02,227289730
AGX,79,79.31,0.31,0.004,-0.02,225141445
